你作为股票分析专家,请详细公司财务报表，揭示公司财务健康状况。采用资产负债表相关指标
                资产负债率：
                流动比率：
                速动比率：
                利润表相关指标
                毛利率：
                净利率：
                净资产收益率（ROE）：
                现金流量表相关指标
                经营活动现金流量净额：
                自由现金流量：
                市盈率法（P/E）
                市净率法（P/B）
                现金流折现法（DCF）等等科学方法，评估公司的财务健康状况和公司当前股票的估值状况，提供财务投资建议当前股票财务介绍:
        资产负债表:
                SECUCODE SECURITY_CODE SECURITY_NAME_ABBR REPORT_DATE REPORT_TYPE  REPORT STD_ITEM_CODE        AMOUNT    ITEM_NAME
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001001  1.024938e+10     现金及现金等价物
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001001  7.191821e+09     现金及现金等价物
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001001  1.017258e+10     现金及现金等价物
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001001  7.523108e+09     现金及现金等价物
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001001  4.678109e+09     现金及现金等价物
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001002  5.000000e+07 限制性现金及其他(流动)
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001002  5.000000e+07 限制性现金及其他(流动)
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001002  1.480300e+07 限制性现金及其他(流动)
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001002           NaN 限制性现金及其他(流动)
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001003  2.706535e+09         短期投资
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001003  2.653065e+09         短期投资
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001003  4.623452e+09         短期投资
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001003  1.506072e+10         短期投资
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001003  3.357189e+09         短期投资
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001004  1.226875e+09         应收账款
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001004  1.573900e+09         应收账款
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001004  1.328584e+09         应收账款
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001004  1.382328e+09         应收账款
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001004  1.053641e+09         应收账款
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001005  7.866770e+08      应收关联方款项
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001005  7.905740e+08      应收关联方款项
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001005  1.594920e+09      应收关联方款项
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001005  2.041316e+09      应收关联方款项
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001005  1.647320e+08      应收关联方款项
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001013  1.148111e+09     预付款项(流动)
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001013  1.272788e+09     预付款项(流动)
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001013  1.950573e+09     预付款项(流动)
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001013  2.807048e+09     预付款项(流动)
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001013  1.765787e+09     预付款项(流动)
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001017  3.588475e+09       存款(流动)
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001017  5.194891e+09       存款(流动)
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001017  4.767972e+09       存款(流动)
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001017  7.632334e+09       存款(流动)
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001017  4.720089e+09       存款(流动)
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004001999  1.975606e+10       流动资产合计
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004001999  1.872704e+10       流动资产合计
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004001999  2.445289e+10       流动资产合计
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004001999  3.644686e+10       流动资产合计
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004001999  1.573955e+10       流动资产合计
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004003001  5.892270e+08     物业、厂房及设备
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004003001  7.147340e+08     物业、厂房及设备
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004003001  1.227163e+09     物业、厂房及设备
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004003001  1.350256e+09     物业、厂房及设备
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004003001  7.619410e+08     物业、厂房及设备
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004003003  3.201012e+09         无形资产
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004003003  3.627533e+09         无形资产
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004003003  4.326790e+09         无形资产
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004003003  3.835600e+09         无形资产
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004003003  2.356959e+09         无形资产
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004003004  2.725130e+09           商誉
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004003004  2.725130e+09           商誉
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004003004  2.725130e+09           商誉
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004003004  2.338303e+09           商誉
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004003004  1.295786e+09           商誉
  BILI.O          BILI               哔哩哔哩  2024-12-31          年报 2024/FY     004003007  3.911592e+09         长期投资
  BILI.O          BILI               哔哩哔哩  2023-12-31          年报 2023/FY     004003007  4.366632e+09         长期投资
  BILI.O          BILI               哔哩哔哩  2022-12-31          年报 2022/FY     004003007  5.651018e+09         长期投资
  BILI.O          BILI               哔哩哔哩  2021-12-31          年报 2021/FY     004003007  5.502524e+09         长期投资
  BILI.O          BILI               哔哩哔哩  2020-12-31          年报 2020/FY     004003007  2.232938e+09         长期投资
