你作为股票分析专家,请详细公司财务报表，揭示公司财务健康状况。采用资产负债表相关指标
                资产负债率：
                流动比率：
                速动比率：
                利润表相关指标
                毛利率：
                净利率：
                净资产收益率（ROE）：
                现金流量表相关指标
                经营活动现金流量净额：
                自由现金流量：
                市盈率法（P/E）
                市净率法（P/B）
                现金流折现法（DCF）等等科学方法，评估公司的财务健康状况和公司当前股票的估值状况，提供财务投资建议当前股票财务介绍:
        资产负债表:
                SECUCODE SECURITY_CODE SECURITY_NAME_ABBR ORG_CODE REPORT_DATE DATE_TYPE_CODE FISCAL_YEAR STD_ITEM_CODE     STD_ITEM_NAME       AMOUNT     STD_REPORT_DATE
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001001         库存现金及短期资金 3.322911e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001002 银行同业及其他金融机构存款(资产) 1.219876e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001005      以公允价值计量的金融资产 1.415358e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001007         客户贷款及其他款项 2.761378e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001008            联营公司权益 7.335700e+10 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001013            递延税项资产 9.004700e+10 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001014              固定资产 3.023870e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001019         衍生金融工具-资产 2.223610e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001022          买入返售金融资产 1.210217e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001997            资产其他项目 6.132330e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001001999               总资产 4.882175e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002001              客户存款 3.483697e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002002 银行同业及其他金融机构存款(负债) 4.590965e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002004            已发行存款证 4.454190e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002005              应交税项 3.188000e+10 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002007            递延税项负债 4.278000e+09 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002009             已发行债券 2.028722e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002013    指定以公允价值记账之金融负债 7.605600e+10 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002014         衍生金融工具-负债 1.977950e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002020          卖出回购金融资产 1.523555e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002028           向中央银行借款 1.696220e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002997            负债其他项目 9.292150e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001002999               总负债 4.483448e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001003001           非控股股东权益 1.742500e+10 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001009001                股本 3.564070e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001009002                储备 1.275004e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001009004        保留溢利(累计亏损) 2.014086e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001009012               优先股 1.346140e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001009013            永久资本证券 1.897300e+11 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001009999        归属于母公司股东权益 3.969841e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001011999            股东权益合计 3.987266e+12 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001015999           权益及负债合计 4.882175e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2024-12-31            001       12-31     001099001             非运算项目 1.846519e+13 2024-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2023-12-31            001       12-31     001001001         库存现金及短期资金 4.042293e+12 2023-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2023-12-31            001       12-31     001001002 银行同业及其他金融机构存款(资产) 1.116717e+12 2023-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2023-12-31            001       12-31     001001005      以公允价值计量的金融资产 1.184967e+13 2023-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2023-12-31            001       12-31     001001007         客户贷款及其他款项 2.538693e+13 2023-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2023-12-31            001       12-31     001001008            联营公司权益 6.477800e+10 2023-12-31 00:00:00
01398.HK         01398               工商银行 10008224  2023-12-31            001       12-31     001001013            递延税项资产 1.046690e+11 2023-12-31 00:00:00
