代码,名称,market,最新价,涨跌幅,涨跌额,总手,现手,买入价,卖出价,昨收,换手率,成交额,市盈率,上移
00300HK,美的集团,HK,75.25,0.80%,0.6,150.8万,100,75.2,75.25,74.65,0.23%,1.136亿,12.77,
09868HK,小鹏汽车-W,HK,74.55,-2.04%,-1.55,508.8万,600,74.5,74.55,76.1,0.33%,3.827亿,-22.7,
601816,京沪高铁,SH,5.97,0.51%,0.03,47.45万,101,5.97,5.98,5.94,0.10%,2.828亿,24.73,
601006,大秦铁路,SH,6.64,0.00%,0,32.03万,54,6.63,6.64,6.64,0.16%,2.133亿,13.01,
1,上证指数,SH,3344.12,-0.24%,-7.88,2.571亿,3.740万,—,—,3352,0.54%,2976亿,—,
159330,沪深300ETF基...,SH,1.153,-0.26%,-0.003,8.419万,10,1.152,1.153,1.156,1.03%,971.4万,—,
159337,中证500ETF基...,SH,1.26,-1.02%,-0.013,18.34万,79,1.26,1.262,1.273,1.91%,2318万,—,
159692,证券ETF东财,SH,1.147,-0.95%,-0.011,3.883万,9,1.147,1.148,1.158,1.22%,446.7万,—,
159622,创新药ETF沪港...,SH,0.866,0.12%,0.001,8.585万,2,0.866,0.867,0.865,3.66%,746.1万,—,
159599,芯片ETF基金,SH,1.475,-2.19%,-0.033,8.024万,2,1.474,1.475,1.508,1.78%,1191万,—,
9047,东财创业板C,SH,1.2224,1.56%,0.0188,0,0,—,—,1.2036,—,—,—,
00981HK,中芯国际,HK,42.1,-6.76%,-3.05,1.375亿,500,42.1,42.15,45.15,2.29%,58.04亿,71.14,
CN00Y,A50期指当月连...,SH,13397,0.37%,49,11.96万,3,13396,13397,13348,—,—,—,
HSI_M,恒生指数期货...,SH,22658,-0.40%,-91,5.040万,1,22657,22659,22749,—,—,—,
300033,同花顺,SH,260.55,-2.30%,-6.13,4.223万,1,260.52,260.55,266.68,1.53%,11.06亿,290.86,
00941HK,中国移动,HK,83.25,-0.30%,-0.25,930.9万,5000,83.25,83.3,83.5,0.05%,7.768亿,11.98,
600941,中国移动,SH,113.53,0.11%,0.12,4.155万,2,113.52,113.53,113.41,0.46%,4.717亿,20,
00386HK,中国石油化工...,HK,3.99,0.50%,0.02,2445万,4000,3.98,3.99,3.97,0.10%,9745万,10.22,
